n,quickSort,mergeSort,heapSort,countingSort,radixSort,bucketSort
10.0000,0.0083,0.0175,0.0148,0.0056,0.0247,0.0134
1010.0000,0.4541,0.7261,0.5133,0.1686,0.3176,0.1970
2010.0000,0.4635,1.3591,0.2214,0.0277,0.1947,0.0820
3010.0000,0.8600,1.8055,0.3521,0.0440,0.2860,0.1860
4010.0000,1.6640,2.3232,0.4926,0.0644,0.3852,0.1540
5010.0000,1.7758,2.9284,0.6445,0.0757,0.4952,0.2191
6010.0000,1.7492,4.5776,0.7751,0.1016,0.5830,0.2966
7010.0000,2.2913,4.1598,0.9264,0.1165,0.6960,0.2928
8010.0000,2.6632,4.7708,1.0930,0.1397,0.7932,0.3823
9010.0000,3.0268,5.7101,1.2455,0.1536,0.8609,0.4115
10010.0000,2.7001,5.7843,1.3916,0.1549,1.1833,0.4714
11010.0000,4.8168,6.6417,1.5662,0.1801,1.3201,0.4682
12010.0000,3.6731,6.8707,1.6905,0.1872,1.4377,0.5205
13010.0000,3.4985,7.9275,1.8572,0.2076,1.5424,0.7628
14010.0000,4.3048,8.1899,2.0241,0.2293,1.7332,0.6923
15010.0000,4.9714,8.8122,2.1926,0.2394,1.9031,0.9323
16010.0000,5.0083,9.5590,2.3272,0.2603,2.0377,0.8746
17010.0000,5.3629,10.0880,2.4892,0.7809,4.6763,0.9045
18010.0000,5.7444,10.8785,2.6705,0.5511,4.4066,0.9036
19010.0000,5.5829,11.4979,2.8143,0.6221,4.4680,1.1090
20010.0000,6.0270,12.2267,2.9620,0.5972,4.8991,1.1613
21010.0000,8.3025,12.6480,3.1435,0.4652,3.7813,1.3355
22010.0000,7.0654,13.2651,3.3201,0.4835,3.6063,1.3914
23010.0000,7.0851,14.2316,3.5028,0.5250,4.0270,1.6166
24010.0000,7.6225,15.1691,3.6895,0.7321,3.9667,1.5165
25010.0000,10.1652,16.4047,3.8681,0.6335,3.8801,1.6547
26010.0000,8.4272,16.5275,4.3398,0.8907,4.1552,1.4285
27010.0000,8.7155,16.4693,4.1868,0.6351,4.1984,1.7563
28010.0000,9.0806,17.3252,4.3666,1.1652,4.3494,1.7991
29010.0000,10.1653,18.1128,4.5435,1.0281,5.0812,2.2934
30010.0000,12.8886,19.8638,4.7658,0.9861,4.6870,2.0595
31010.0000,10.3342,19.9007,4.9675,1.2335,5.3345,3.0574
32010.0000,13.3550,20.5751,5.1213,0.9485,5.2467,2.5012
33010.0000,15.5750,22.0175,5.3054,0.8681,5.4849,2.2329
34010.0000,11.7823,23.7143,5.5076,1.2265,6.0617,3.1408
35010.0000,11.9477,23.8626,5.6362,1.2035,5.8638,3.1013
36010.0000,17.1064,24.8428,5.9201,1.2377,5.5732,2.3868
37010.0000,13.9355,25.8394,6.2242,1.2765,6.0775,2.6362
38010.0000,15.7648,25.4726,6.2143,1.3693,6.5534,2.8106
39010.0000,16.9469,26.4465,6.4637,1.4153,6.3842,3.5560
40010.0000,15.9851,27.2990,7.1588,1.1677,7.0759,3.5918
41010.0000,16.5107,28.6129,6.8175,1.3781,6.3118,2.9154
42010.0000,15.0265,27.7526,7.0581,1.6318,7.0137,3.3976
43010.0000,15.3151,28.9932,7.1345,1.4090,7.1347,3.5077
44010.0000,16.2411,29.5703,7.3485,1.4433,7.4668,3.3932
45010.0000,17.7096,29.9573,7.4649,1.1851,7.3291,3.8488
46010.0000,18.9528,32.1443,7.7032,1.6914,8.2677,4.2335
47010.0000,18.3263,32.7453,7.8633,1.4992,7.4689,3.3275
48010.0000,20.1501,34.3903,8.0820,1.6355,7.5745,4.1494
49010.0000,24.4832,34.1024,8.3080,1.7868,7.9318,3.8206
